Name,LTP (NAV),Change(%),Asset (Cr.),Volume,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,Exp Ratio,Margin Funding,Margin Pledge
"ICICI Pru Nifty Auto ETF","27.55","0.99%","154.27","4,25,182","28.71","19.72","4.63%","12.96%","-0.61%","119.70%","134.67%","0.20%","73.50%","75.00%"
"ICICI PRUD NIFTY 100 ETF","28.38","0.82%","149.16","1,10,969","32.70","23.85","1.43%","-1.90%","-4.51%","50.64%","129.80%","0.48%","80.00%","-"
"HDFC Nifty Next 50 ETF","69.21","0.29%","143.77","38,692","88.00","57.00","1.91%","-1.00%","-11.35%","67.66%","65.85%","0.25%","80.00%","-"
"ICICI Pru Nifty Healthcare ETF","146.68","1.31%","143.32","40,674","157.70","120.00","-0.12%","-0.70%","-2.53%","39.78%","39.78%","0.15%","73.50%","-"
"DSP Nifty PSU Bank ETF","75.53","-0.24%","143.15","78,069","77.00","55.47","9.89%","3.44%","10.93%","8.41%","8.41%","0.15%","72.83%","-"
"HDFC Nifty Midcap 150 ETF","21.46","1.32%","137.53","2,93,075","23.65","17.51","0.47%","-2.85%","-4.83%","85.32%","85.32%","0.20%","80.00%","-"
"Motilal Oswal Nifty Realty ETF","87.71","0.90%","133.67","2,47,126","113.50","77.00","-0.54%","-10.89%","-20.34%","1.73%","1.73%","0.41%","72.44%","-"
"Motilal Oswal 5 Year G-Sec ETF","62.14","-0.26%","133.66","10,218","65.80","55.70","0.66%","0.34%","7.84%","26.71%","30.19%","0.24%","80.00%","-"
"Axis S&P BSE Sensex ETF","83.43","0.86%","131.99","312","98.00","66.40","0.75%","-2.54%","-7.25%","43.84%","43.84%","0.04%","80.00%","-"
"Motilal Oswal Nifty 200 Momentum ETF","61.04","0.76%","128.89","2,18,670","78.50","51.21","0.18%","-5.57%","-20.41%","61.48%","53.41%","0.30%","80.00%","-"
"Motilal Oswal Nifty Smallcap 250 ETF","16.91","1.02%","127.50","31,15,319","19.00","13.22","0.54%","-4.89%","-8.89%","20.36%","20.36%","0.30%","80.00%","-"
"HDFC Nifty 200 Momentum 30 ETF","30.45","1.06%","127.32","2,12,398","38.58","25.50","0.23%","-5.38%","-20.08%","61.88%","61.88%","0.30%","80.00%","-"
"Motilal Oswal Nasdaq Quality 50 ETF","99.50","2.00%","122.14","4,38,297","101.30","61.31","17.70%","30.99%","55.23%","106.35%","48.64%","0.45%","79.76%","-"
"Zerodha Nifty Midcap 150 ETF","10.58","0.76%","121.38","15,76,305","12.97","7.66","0.47%","-2.85%","-4.43%","4.24%","4.24%","0.21%","80.00%","-"
"Motilal Oswal BSE Enhanced Value ETF","106.62","0.49%","121.30","68,210","114.10","85.91","6.12%","0.70%","-3.74%","163.19%","119.25%","0.31%","80.00%","-"
"Mirae Asset Nifty 100 ESG Sector Leader","42.38","0.88%","117.66","5,123","44.70","36.00","0.28%","-2.28%","-3.26%","33.35%","33.35%","0.41%","80.00%","-"
"Motilal Oswal Gold ETF","117.25","-5.18%","115.98","14,14,659","134.40","96.30","12.42%","19.10%","19.10%","19.10%","19.10%","0.56%","-","-"
"Kotak Nifty 50 Value 20 ETF","145.75","-0.02%","115.60","17,721","169.00","131.63","-0.63%","-2.70%","-11.13%","3.45%","3.45%","0.14%","73.50%","-"
